document	label
예전하고 정말많이 달라졋네요..우선..매콤함이 없어지고 세상 달아서..(갠적으로 단거 싫어함) 그리구..양이..ㅋㅋ	0
그냥 보통 사람들의 보통 움식... 수입산 낙지 가격이 그리 높지 않은데 비해 음식 가격은 높은 편...	0
서비스가 아주개판입니다~두번다시는 안갈거임	0
언제 가도 맛있는 곳~~	1
직원들이 친절하고 맛도 좋았습니다	1
같은 체인임에도 불구하고 맛이 너무 없었어요 밥도 너무 맛이없고	0
전보다 가격은  올라가고 양은 적어지고		0
가성비가 좋지는 않은것 같네요..,	0
맛 드럽게 없고요 더럽고 비위생적이고 불친절해요	0
예전에 비해서 음식이 맛이 없어졌네요	0
맛나게 잘 먹었습니다	1
가성비 좋아요	1
항상 변함 없는 맛	1
가격이 많이 비싸졌내요	0
비싸기만하고 비싼값어치를 못하네요.	0
아 진짜 인간적으로 너무 맛있잖아요	1
맛도 양도 신선도도 그리좋지안네요	0
맛집으로 소문난 것 같은데 매운 거 외에 특별한 맛은 없는 것 같네요. 	0
여긴 그냥 찐맛집 ㅎㅎ	1
탕은 내용물도 별로고 맛 또한 별로	0
맛있습니다!	1
가격대비 나쁘지는 않습니다	1
음식 맛이 별로에요~	0
영 아니네요	0
분위기도 좋고 직원분들도 친절합니다	1
가성비 맛 좋아요	1
음식이 깔끔하게 잘나왔고	1
서비스도 맛도 별로 였네요.	0
맛 별로 밑반찬 부실 서비스 없음.	0
가격대비 최악이었어요	0
가격대비 좀 실망했다.	0
가지않는걸 매우추천합니다..	0
맛있고 사장님, 직원분들이 친절해서 좋았던 곳!	1
음식은 맛있습니다. 직원들 친절도는 쏘쏘~	1
좋아용 맛있었어용	1
친절도않고..맛도없고..써비스도별로고..건달들도많고	0
맛있어요. 너무 좋으네요. 강추합니다.	1
가성비 괜찮고 깔끔해서 가족과 외식하기 좋아요	1
최악	0
내입에는 안맞음	0
내가 가본 많고 많은 음식점들 중에 젤 맛있음...미쳐버릴 지경	1
압도적으로 맛있고 저렴함	1
음식이 깔끔하고 좋아요	1
가성비는 떨어짐.	0
별로네요 ?	0
다른 음식점과 비교하면 맛이 좀...	0
진짜 맛없다 불친절은 덤	0
그닥...맛이 인지도를 너무 못따라감.	0
맛 하나도 없음	0
별롭니다 과거에서 발전하지 못했어요	0
불친절하면서 음식주문도 제대로 못받고 정말 별로입니다~~~~~	0
전에 그맛이 아니다  실망~~ 다시는 가지 말아야지	0
